ent_num,Company Name,Program,Country
30882,CHINA TELECOM CORPORATION LIMITED,CMIC-EO13959,China
30902,AERO ENGINE CORPORATION OF CHINA,CMIC-EO13959,China
30923,CHINA MOBILE LIMITED,CMIC-EO13959,China
30924,CHINA UNICOM (HONG KONG) LIMITED,CMIC-EO13959,China
30925,"AVIATION INDUSTRY CORPORATION OF CHINA, LTD.",CMIC-EO13959,China
30926,CNOOC LIMITED,CMIC-EO13959,China
30927,CHINA ACADEMY OF LAUNCH VEHICLE TECHNOLOGY,CMIC-EO13959,China
30928,CHINA AEROSPACE SCIENCE AND INDUSTRY CORPORATION LIMITED,CMIC-EO13959,China
30929,CHINA AEROSPACE SCIENCE AND TECHNOLOGY CORPORATION,CMIC-EO13959,China
30930,CHINA COMMUNICATIONS CONSTRUCTION COMPANY LIMITED,CMIC-EO13959,China
30932,CHINA ELECTRONICS CORPORATION,CMIC-EO13959,China
30933,CHINA SOUTH INDUSTRIES GROUP CORPORATION,CMIC-EO13959,China
30934,"CHINA SPACESAT CO., LTD.",CMIC-EO13959,China
30936,CHINA ELECTRONICS TECHNOLOGY GROUP CORPORATION,CMIC-EO13959,China
30937,CHINA GENERAL NUCLEAR POWER CORPORATION,CMIC-EO13959,China
30938,CHINA STATE SHIPBUILDING CORPORATION LIMITED,CMIC-EO13959,China
30939,CHINA TELECOMMUNICATIONS CORPORATION,CMIC-EO13959,China
30942,"CHINA UNITED NETWORK COMMUNICATIONS GROUP CO., LTD.",CMIC-EO13959,China
30944,"CHINA MOBILE COMMUNICATIONS GROUP CO., LTD.",CMIC-EO13959,China
30946,"HANGZHOU HIKVISION DIGITAL TECHNOLOGY CO., LTD.",CMIC-EO13959,China
30947,"HUAWEI TECHNOLOGIES CO., LTD.",CMIC-EO13959,China
30949,"INSPUR GROUP CO., LTD.",CMIC-EO13959,China
30950,"PANDA ELECTRONICS GROUP CO., LTD.",CMIC-EO13959,China
30951,SEMICONDUCTOR MANUFACTURING INTERNATIONAL CORPORATION,CMIC-EO13959,China
30954,CHINA NATIONAL NUCLEAR CORPORATION,CMIC-EO13959,China
30956,CHINA NATIONAL OFFSHORE OIL CORPORATION,CMIC-EO13959,China
30957,CHINA NORTH INDUSTRIES GROUP CORPORATION LIMITED,CMIC-EO13959,China
30958,CHINA NUCLEAR ENGINEERING CORPORATION LIMITED,CMIC-EO13959,China
30959,CHINA RAILWAY CONSTRUCTION CORPORATION LIMITED,CMIC-EO13959,China
32028,ANHUI GREATWALL MILITARY INDUSTRY COMPANY LIMITED,CMIC-EO13959,China
32052,AVIC XI'AN AIRCRAFT INDUSTRY GROUP COMPANY LTD.,CMIC-EO13959,China
32053,AVIC HEAVY MACHINERY COMPANY LIMITED,CMIC-EO13959,China
32055,"AVIC JONHON OPTRONIC TECHNOLOGY CO., LTD.",CMIC-EO13959,China
32056,AVIC SHENYANG AIRCRAFT COMPANY LIMITED,CMIC-EO13959,China
32069,"CHINA SATELLITE COMMUNICATIONS CO., LTD.",CMIC-EO13959,China
32072,CHINA COMMUNICATIONS CONSTRUCTION GROUP (LIMITED),CMIC-EO13959,China
32073,AEROSPACE COMMUNICATIONS HOLDINGS GROUP COMPANY LIMITED,CMIC-EO13959,China
32077,"FUJIAN TORCH ELECTRON TECHNOLOGY CO., LTD.",CMIC-EO13959,China
32078,"INNER MONGOLIA FIRST MACHINERY GROUP CO., LTD.",CMIC-EO13959,China
32079,CSSC OFFSHORE & MARINE ENGINEERING (GROUP) COMPANY LIMITED,CMIC-EO13959,China
32082,AVIC AVIATION HIGH-TECHNOLOGY COMPANY LIMITED,CMIC-EO13959,China
32084,"AEROSPACE CH UAV CO., LTD",CMIC-EO13959,China
32085,"CHINA AEROSPACE TIMES ELECTRONICS CO., LTD",CMIC-EO13959,China
32087,"HUAWEI INVESTMENT & HOLDING CO., LTD.",CMIC-EO13959,China
32088,"JIANGXI HONGDU AVIATION INDUSTRY CO., LTD.",CMIC-EO13959,China
32090,CHINA AVIONICS SYSTEMS COMPANY LIMITED,CMIC-EO13959,China
32100,CHINA SHIPBUILDING INDUSTRY COMPANY LIMITED,CMIC-EO13959,China
32101,"GUIZHOU SPACE APPLIANCE CO., LTD",CMIC-EO13959,China
32102,CHANGSHA JINGJIA MICROELECTRONICS COMPANY LIMITED,CMIC-EO13959,China
32103,CHINA MARINE INFORMATION ELECTRONICS COMPANY LIMITED,CMIC-EO13959,China
32106,CHINA SHIPBUILDING INDUSTRY GROUP POWER COMPANY LIMITED,CMIC-EO13959,China
32107,"COSTAR GROUP CO., LTD.",CMIC-EO13959,China
32128,NANJING PANDA ELECTRONICS COMPANY LIMITED,CMIC-EO13959,China
32129,AEROSUN CORPORATION,CMIC-EO13959,China
32130,"NORTH NAVIGATION CONTROL TECHNOLOGY CO., LTD.",CMIC-EO13959,China
32131,SHAANXI ZHONGTIAN ROCKET TECHNOLOGY COMPANY LIMITED,CMIC-EO13959,China
32153,ZHONGHANG ELECTRONIC MEASURING INSTRUMENTS COMPANY LIMITED,CMIC-EO13959,China
33091,MEGVII TECHNOLOGY LIMITED,CMIC-EO13959,China
33111,"SZ DJI TECHNOLOGY CO., LTD.",CMIC-EO13959,China
33112,"CLOUDWALK TECHNOLOGY CO., LTD.",CMIC-EO13959,China
33113,"DAWNING INFORMATION INDUSTRY CO., LTD",CMIC-EO13959,China
33114,SENSETIME GROUP LIMITED,CMIC-EO13959,China
33894,LEON TECHNOLOGY COMPANY LIMITED,CMIC-EO13959,China
33895,NETPOSA TECHNOLOGIES LIMITED,CMIC-EO13959,China
33896,"XIAMEN MEIYA PICO INFORMATION CO., LTD.",CMIC-EO13959,China
